"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2451.29359528061/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xc5301dd859b4a9873b247f908c5d98d813dfcbb7a43b71442457323667e69f81","14341501","1646679938","2022-03-07 19:05:38","0x757cead28c78b709e757e00cfa683829b5e19899","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.00708111292957086","17.3578867717158","2496.67","","","Buy"
"0xa7d79c3da722ee75226ea4b76a54098e57db6ede0ad42487e40dde4294e7f495","14341619","1646681328","2022-03-07 19:28:48","0x9e25f2b316f2db1f5c9645e13e31af9367f3040e","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.005110605258222612","12.5275939374885","2496.67","","","Buy"
"0x23cb7423182f63b6cf9a883c10511189b77d9d1cae6698781ce660c5fbdd7396","14341621","1646681362","2022-03-07 19:29:22","0x9e25f2b316f2db1f5c9645e13e31af9367f3040e","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.006083742172299906","14.9130382222973","2496.67","","","Buy"
"0xffe64d5a2af9bed9157252ff801a99d33a67e6d0492c626583da6c334461d352","14341697","1646682474","2022-03-07 19:47:54","0x5c7f4d59623719912aba95f11fdcf808e08421ab","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.01021436613510861","25.0384102868429","2496.67","","","Buy"
"0x0ffb0e1f3a70a8e96e71d2f91e4734457a33f4ff06b7136279b7bcb221549077","14341909","1646685708","2022-03-07 20:41:48","0x16a6ee0469c3ceeccd0b9da048c7eab090db5eb4","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.012680670159425682","31.0840455456661","2496.67","","","Buy"
"0x08b69166b02810d7ec77dd5588c94bae8faa123b788d8b56e67373d0e48c9ca4","14342200","1646689404","2022-03-07 21:43:24","0xc990ed6d3b491eb488d5c06e339142ca4c44526c","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.010673711745809904","26.1644012403752","2496.67","","","Buy"
"0x002c0f2c8e2d17146af86e237df69f8650109b9660a5a4addc5a10eb7e3faa88","14342302","1646690743","2022-03-07 22:05:43","0xc990ed6d3b491eb488d5c06e339142ca4c44526c","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0","0","0","0.00149642722872151","3.66818248156855","2496.67","","","Transfer From"
"0x98c33c7e14d6776169101894961b1ca628fabc1106061c5321ead0cf90314e47","14342406","1646692120","2022-03-07 22:28:40","0xc990ed6d3b491eb488d5c06e339142ca4c44526c","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0","0","0","0.001620936366298836","3.97339093306576","2496.67","","","Transfer From"
"0x101a69b21d2321788a3583ddb71a036aa3ab37f7413804b34fbf9969fccae547","14342694","1646695683","2022-03-07 23:28:03","0x640c6bc81fcb7b29b7a262f0c321e55dda0e938a","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.006798326407612248","16.6646939816069","2496.67","","","Buy"
"0x747082fc25195e7c9c7cc1760a446a019d06ae3ad59a5d689afefd7455ff22fd","14342785","1646696828","2022-03-07 23:47:08","0x21218b3064144dd113ee657f0c6155a0bfb96049","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.5","0","1225.64679764031","0.012071582289193062","29.5909923504018","2496.67","","","Buy"
"0x227a9f740543263746ff023c34dcc1049ee736ea7d48e83568a5bf2c0cb95978","14342785","1646696828","2022-03-07 23:47:08","0x21218b3064144dd113ee657f0c6155a0bfb96049","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.012272194983480662","30.082752963041","2496.67","","","Buy"
"0x649105797ba68aa3eb40ce5d6963a8b6b3aa21de13bab8e52504b709ec88f875","14342839","1646697511","2022-03-07 23:58:31","0xc990ed6d3b491eb488d5c06e339142ca4c44526c","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0","0","0","0.002145861138758842","5.26013566580111","2496.67","","","Transfer From"
"0xd6b9d0c03dbebfc6492cacb089be5240babb3ffffebed77d732ae32afa454a8a","14343080","1646700806","2022-03-08 00:53:26","0x615062df84b6c8cf486bffd50669511cd8529a78","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.2","0","490.258719056122","0.008610704988019794","21.1073659879837","2579.18","","","Buy"
"0xff23225f1917f719655c942668b43d2deb88e07bbd6909a008785eaf77f36ade","14343206","1646702804","2022-03-08 01:26:44","0x178292bf3de6cee84be3e63e69858159641778b6","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.011573522329173042","28.370101160339","2579.18","","","Buy"
"0x69892f56b3e0e24c29a5b8ca5cc9a4b4dfbcd33c5b6a103c43a21ae913fc0eb7","14343655","1646708626","2022-03-08 03:03:46","0xfab7da76852c4c64f4bb28df7a03a9e86c044625","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.005943816271931946","14.5700387589115","2579.18","","","Buy"
"0xe15741a39dc7bf6ae3831693a3618d091cffadede4e35f58432d6c629d8f0740","14347414","1646759529","2022-03-08 17:12:09","0xec410263ba8a9c961f6cadcf860eac50033e977a","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.2","0","490.258719056122","0.008384031745245372","20.5517233197493","2579.18","","","Buy"
"0xd40eae5f062a979c703f55106227709155aeb3adf540c32bb66560816a3da84e","14347422","1646759634","2022-03-08 17:13:54","0xec410263ba8a9c961f6cadcf860eac50033e977a","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.010187105459014026","24.9715863661292","2579.18","","","Buy"
"0xf8d542b36501a790f1672d5a661107d48403c5e7cc0057e4046aba12144fdffb","14347436","1646759781","2022-03-08 17:16:21","0xec410263ba8a9c961f6cadcf860eac50033e977a","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.009675374597328636","23.7171837823724","2579.18","","","Buy"
"0xc92dc27dda4caecfc7a92698a3fcc4e823618ce173e9969ffc7dd7c30c206d6d","14347492","1646760507","2022-03-08 17:28:27","0xf7bc73b6c191312b16cf99d5f4b23629747ba282","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.3","0","735.388078584183","0.010309001244431514","25.2703887242148","2579.18","","","Buy"
"0x213e93fcedd7f50b2c5dff867cd96e6055eeda09bc4e64f14192b731705f05fb","14347525","1646760910","2022-03-08 17:35:10","0xf7bc73b6c191312b16cf99d5f4b23629747ba282","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.008079904929525184","19.8062192042213","2579.18","","","Buy"
"0x4d723440f4f2a56cfdcdd7242e967df249a982b60d75a97e8eb1b5b71254aa94","14347566","1646761559","2022-03-08 17:45:59","0xaae65644982fd4c5ac148585b70d1db5e01338ce","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.00825085665074331","20.2252720635455","2579.18","","","Buy"
"0x2088a60746e625c1c84293e3bb848c7830dabb087ca81b82ba2be54a648e6143","14347640","1646762445","2022-03-08 18:00:45","0x04f5d1ef575bbaee66115a89cff0e207a275104c","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.007128176748528462","17.473254009696","2579.18","","","Buy"
"0x55204ac924f2f614e63661cb05c6b8090ac2a06bae701858c847695634213b3a","14347740","1646763555","2022-03-08 18:19:15","0x423d0883220adf93e2bf3427875c07aa76dccac9","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.004080148748976312","10.0016424961578","2579.18","","","Buy"
"0xce55fdee5055dfd22b8cc4c9efd64151c341629df20bec6c801a729b4e305bbb","14347809","1646764331","2022-03-08 18:32:11","0x9fdab4e8baeebe8add807e31c80d9351c45ea1f6","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.004040727303509796","9.90500895936905","2579.18","","","Buy"
"0x389fab69c02e47c41ffe5ba5d18ab18cefa57a32bea137c9fe20aa68d70b44b1","14347891","1646765534","2022-03-08 18:52:14","0x20a856241cc34eb32b91436fdab1af7ea8b05ed6","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.005597414964904452","13.7209074535981","2579.18","","","Buy"
"0x0f7624223f9dd96627cf1b8fe751dec5f492d6b183ef1c475658e04528465bfa","14347919","1646765935","2022-03-08 18:58:55","0xd1f0d9669e9cbb3e148aeb6d5635fbafa18cd841","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.00583852366626993","14.3119356690217","2579.18","","","Buy"
"0x989914cdd94291b4f8738c4b89d883d1bfce53bc4de3bdc8f22104d3154492c4","14347971","1646766725","2022-03-08 19:12:05","0xb89c1fd3fd97a6a197574896998ac847e96bb998","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.00718640981713608","17.6160003578074","2579.18","","","Buy"
"0xacfac60943c9a17992516c43ff572506865f95bd84b12db4d0f0e8a1e66139ae","14347982","1646766872","2022-03-08 19:14:32","0xaae65644982fd4c5ac148585b70d1db5e01338ce","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.00651699249578924","15.97506196542","2579.18","","","Buy"
"0xc62523b6360e7cad9928e56e5cf29636a53f3bb58a08b1eb74dee25ec60b150f","14347994","1646767073","2022-03-08 19:17:53","0x99299343cf90da7810b5308f2fd6e4a89161f2ac","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.007464967547900958","18.2988271391472","2579.18","","","Buy"
